Place_ID,Plate2,Grid
0,24,E1
3,1,C4
4,1,C3
6,17,B2
7,16,E1
8,11,A3
9,11,A4
10,11,C5
11,16,E1
12,10,B4
13,10,D2
14,10,B3
15,10,D3
16,17,B3
17,18,A1
18,10,E5
19,17,B4
20,26,B2
21,10,D5
23,26,C2
24,10,A3
25,10,E1
26,20,E1
27,17,C2
28,17,E3
29,17,E1
31,15,E4
32,15,E5
34,10,D6
35,10,C6
36,10,C6
37,10,A4
38,10,A5
39,17,B4
40,10,C2
41,10,E3
42,16,D5
43,16,C5
44,15,E6
47,24,B1
49,35,E3
50,16,B5
51,32,C6
54,16,D4
55,16,E3
56,16,E5
57,32,A2
58,32,B5
59,23,E6
62,18,D1
63,16,C6
64,24,B1
65,16,B6
66,24,B3
67,15,E6
68,33,A1
73,25,E3
74,23,E1
75,23,E2
76,33,E5
77,11,B2
78,11,B4
80,16,E2
81,13,A4
82,12,D3
83,10,B2
85,15,E4
86,16,A4
87,10,A3
89,15,E5
92,0,
94,2,B4
96,5,E4
97,7,A1
100,25,A6
101,27,D1
104,2,D5
105,6,B5
106,6,C5
107,6,C4
108,6,E4
109,6,D6
111,7,B2
112,16,E1
114,16,E1
116,17,A2
120,19,B5
121,25,E6
126,11,E5
127,12,C1
129,10,E5
135,12,A6
139,27,A6
141,34,B5
142,2,D5
143,2,E6
144,7,A3
145,3,B6
148,28,B1
153,27,C1
154,34,E3
155,26,D2
159,26,D6
161,35,C4
162,34,B3
163,25,A4
165,26,A5
166,24,D4
172,10,D6
179,28,C2
180,27,E2
181,32,A5
183,32,C3
185,16,B6
189,16,E2
191,17,C2
192,28,A2
193,7,D2
194,7,C1
195,7,C1
196,7,C1
197,7,C1
199,5,E5
200,6,D5
203,6,E5
204,7,B5
205,2,E6
207,6,A5
208,6,B6
209,7,C3
210,5,B6
212,2,C6
213,6,A3
214,5,E4
217,5,D5
218,5,D6
222,17,B3
226,34,E4
227,35,A3
228,35,C2
229,35,A2
231,35,B2
232,34,D4
234,35,A1
235,27,C6
236,27,A6
237,26,E6
238,34,E1
239,34,C2
240,26,D6
241,34,C2
242,34,D2
243,6,C1
244,34,B2
245,34,C2
246,23,D5
249,9,E6
258,3,B4
260,3,C5
261,3,C6
262,35,B1
265,34,C2
266,34,D3
273,26,C2
279,34,A3
282,34,A2
285,34,B1
287,34,A1
293,27,E6
303,35,C2
304,35,D2
307,35,D1
309,28,B5
312,10,C1
329,27,C6
332,34,B1
344,3,B5
347,36,B3
367,6,B2
387,34,E2
391,27,C6
394,34,E2
424,35,D1
434,35,D1
443,27,B4
475,3,B5
480,33,E6
484,33,D1
485,33,B5
488,24,C5
489,6,E3
514,5,D6
530,24,A1
556,18,D3
586,6,E5
589,6,C3
601,7,A5
610,7,B5
614,7,C3
615,7,B6
621,36,A2
662,10,D1
663,10,D1
687,7,A6
688,3,A6
696,11,D5
702,11,D6
705,11,D4
713,16,B5
714,23,C5
715,32,A3
717,32,A5
718,24,A2
719,26,B3
721,10,D4
722,9,E5
725,34,D1
726,10,D5
730,29,E5
731,31,C3
733,24,E1
734,24,D1
736,24,B1
737,24,D2
738,24,A1
742,27,A3
745,33,B3
746,33,D5
749,35,C3
750,12,B2
751,35,C2
753,31,B5
754,31,C6
755,0,
756,0,
757,42,A6
758,42,B3
759,40,A4
760,35,A3
761,33,C3
762,29,A2
765,29,B5
766,29,C1
767,22,A5
768,10,B2
771,26,A4
772,10,A3
773,9,D6
774,11,D1
776,26,E5
777,35,D1
778,12,E1
779,27,B6
780,7,A6
781,1,D5
782,1,B3
784,1,C2
785,24,D2
788,10,D6
791,18,B2
793,11,C1
794,11,B2
795,17,D3
798,32,E1
800,17,A3
803,1,B5
804,1,D5
808,7,A6
810,6,A5
811,5,E2
812,2,B4
813,2,A3
814,6,A2
816,10,B1
817,2,D6
819,7,B3
820,2,D5
822,1,D4
823,1,B5
824,1,C5
826,6,C3
827,5,E3
829,1,D4
830,1,D3
833,5,A3
834,5,E2
835,5,C4
836,5,E5
837,2,E4
838,3,A6
840,3,A6
841,3,B6
842,3,B5
844,6,A3
845,6,B4
846,5,D1
849,1,C5
850,1,C5
853,5,A5
855,1,D6
857,5,A4
858,6,C5
859,6,D2
860,7,D5
861,1,D4
863,6,A6
864,6,D6
866,6,B5
868,5,C6
870,1,B5
872,1,C5
873,6,A2
878,5,C3
879,6,C3
880,5,E1
881,5,D1
882,5,E3
883,7,A3
884,5,E1
886,6,D1
887,5,C1
888,6,D3
891,5,C6
892,5,D2
893,5,D2
898,5,E6
899,3,D6
900,2,D6
901,2,E6
902,5,D4
904,5,C5
905,1,E5
906,1,E6
907,6,D3
908,6,E4
911,7,C1
912,5,D5
915,2,A5
919,3,C5
921,3,B5
922,4,C6
925,3,A6
926,5,D3
930,1,B6
932,6,B5
933,6,A1
934,1,D2
938,2,A3
940,5,B4
941,3,D6
942,6,E1
943,6,E5
945,6,E5
950,5,C3
951,5,C2
953,7,B1
955,6,E2
960,5,C6
963,6,A1
964,6,E5
965,6,E5
967,5,B3
970,3,D6
974,7,B1
975,7,A1
976,1,E6
981,5,B3
983,5,D1
984,1,D6
985,10,B2
986,10,B1
987,15,C6
993,10,A3
994,10,A3
995,10,A3
1001,9,D6
1002,10,A3
1003,42,A1
1004,0,
1005,40,B1
1010,22,C3
1013,24,A1
1014,24,C3
1018,4,E2
1020,10,C5
1021,10,C6
1022,17,B4
1023,18,B3
1027,5,E6
